scenario,functional,predicted_Pd_gap_kcal,Pd_signed_error_kcal,set_MAE,set_MSE,set_RMSE,delta_set_MAE,NER_frozen,overall_NER_frozen,TM_NER_frozen,delta_overall_NER_frozen,overall_rank_frozen,NER_exploratory_panel,overall_NER_exploratory_panel,TM_NER_exploratory_panel,overall_rank_exploratory_panel,delta_overall_NER_vs_current_exploratory_panel
issue_QZ,PW6B95,19.2755297995,-1.06416382412,4.16597462399,-1.6879793107,5.63589364763,-1.63688458317,0.802156868857,3.27505633704,1.32856125068,-0.00230059503237,11,1.10589998442,3.27727344008,1.36231048575,11,-8.34919990438e-05
issue_QZ,SOGGA11X,19.1952185643,-1.14447505939,3.87864150869,2.15408923979,5.15353072488,-1.63688458317,0.746830984065,4.11255618131,1.99978958164,-0.00230059503237,14,1.02962451075,4.11462036764,2.0312110846,14,-0.000236408706181
issue_QZ,r2SCAN0,12.0108313458,-8.32886227788,15.4019706293,-5.34888072457,21.7491202537,-1.63688458317,2.9656437327,2.80937340227,1.62183881105,-0.00230059503237,10,4.08860845693,2.81757022507,1.7466126693,10,0.00589622777225
issue_QZ,wB97M-V,24.7833539598,4.44366033609,3.74655490595,-1.64218878153,4.44061152072,-1.35915581216,0.721397757695,1.07362824725,1.15858376121,-0.00191025509179,2,0.994560789754,1.07562213799,1.18893520921,2,8.36356531639e-05
issue_QZ,wB97X-V,22.8991443142,2.55945069052,4.76063235733,-2.7831606026,5.53200342405,-1.47691891501,0.916657994877,1.31082935364,1.23651378095,-0.00207576780551,4,1.26375787781,1.31336292943,1.27508043461,4,0.000457807982295
issue_QZ,revDSD-PBEP86-D4,21.0679882038,0.728294580176,2.73352325061,-0.109764079889,3.89632744221,-1.59136617191,0.526338888152,1.51972284684,1.31898578657,-0.00223662019144,5,0.725641318807,1.52117760911,1.34113050109,5,-0.000781857923877
ACCDB_experiment,wB97M2,22.7156080214,3.94562369954,4.33262009324,-1.34452835257,8.03394895225,-1.43933651763,0.834244392158,0.946509538251,1.02107867583,-0.00202294680786,1,1.15242971652,0.948832058866,1.05643260076,1,0.000299573807884
ACCDB_experiment,B3LYP,16.8687958387,-1.90118848315,5.77639264006,1.18794030906,6.96781766296,-1.68593799885,1.11224226061,5.68879074732,2.09260442454,-0.00236953822213,16,1.53645747594,5.69188720874,2.13973944846,16,0.000726923203629
ACCDB_experiment,BMK,-6.45541743184,-25.2254017537,6.57900264015,-1.95465385716,9.56741323268,-1.68593799885,1.26678451847,4.52125056029,1.95341102326,-0.00236953822213,15,1.74994298701,4.52477726444,2.00709529754,15,0.00115716592778
ACCDB_experiment,CAMB3LYP,17.8300455363,-0.939938785583,3.62688413118,0.214262970682,4.88811330265,-1.68593799885,0.698355194393,3.64563555911,1.81435593427,-0.00236953822213,13,0.964711643574,3.64757976677,1.84395109529,13,-0.000425330563874
